locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
SGL_RS01150,SGL_RS01150,NC_005231.1,ssl8005,4365,4655,-,nucleotidyltransferase family protein,No COG annotation,,Op540
SGL_RS01900,SGL_RS01900,NC_000911.1,sll1213,4451,5389,-,GDP-L-fucose synthase,Carbohydrate transport and metabolism,,Op1816
SGL_RS01155,SGL_RS01155,NC_005231.1,sll8006,4652,6046,-,restriction endonuclease subunit S,No COG annotation,,Op540
SGL_RS01395,SGL_RS01395,NC_005232.1,slr6006,5251,6279,+,metal-dependent hydrolase,No COG annotation,,Op1330
SGL_RS00670,SGL_RS00670,NC_005230.1,sll7009,5340,6284,-,WYL domain-containing protein,No COG annotation,,Op2616
SGL_RS01905,gmd,NC_000911.1,sll1212,5534,6622,-,GDP-mannose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,,Op1816
SGL_RS01160,SGL_RS01160,NC_005231.1,sll8007,6043,6393,-,DUF5615 family PIN-like protein,No COG annotation,,Op540
SGL_RS00675,cas3,NC_005230.1,slr7010,6373,8517,+,type I-D CRISPR-associated helicase Cas3',No COG annotation,,Op169
SGL_RS01165,SGL_RS01165,NC_005231.1,ssl8008,6377,6601,-,DUF433 domain-containing protein,No COG annotation,,Op540
SGL_RS01400,SGL_RS01400,NC_005232.1,slr6007,6397,7470,+,DUF853 family protein,No COG annotation,,Op2662
SGL_RS01170,SGL_RS01170,NC_005231.1,,6652,8619,-,class I SAM-dependent DNA methyltransferase,No COG annotation,,
SGL_RS01910,psbA,NC_000911.1,slr1311,7229,8311,+,photosystem II q(b) protein,Energy production and conversion,,Op846
SGL_RS01405,SGL_RS01405,NC_005232.1,slr6008,7565,8596,+,hypothetical protein,No COG annotation,,Op2020
SGL_RS19400,SGL_RS19400,NC_000911.1,,8301,8450,-,hypothetical protein,No COG annotation,,
SGL_RS01915,speA,NC_000911.1,slr1312,8492,10471,+,biosynthetic arginine decarboxylase,Amino acid transport and metabolism,,Op593
SGL_RS01410,SGL_RS01410,NC_005232.1,slr6009,8529,9449,+,hypothetical protein,No COG annotation,,Op1270
SGL_RS00680,cas10d,NC_005230.1,slr7011,8531,11458,+,type I-D CRISPR-associated protein Cas10d/Csc3,No COG annotation,,Op169
SGL_RS01180,SGL_RS01180,NC_005231.1,sll8011,8821,9195,-,DUF5615 family PIN-like protein,No COG annotation,,Op42
SGL_RS01185,SGL_RS01185,NC_005231.1,sll8012,9205,9621,-,hypothetical protein,No COG annotation,,Op42
SGL_RS01415,SGL_RS01415,NC_005232.1,sll6010,9520,10167,-,hypothetical protein,No COG annotation,,Op1990
SGL_RS01190,SGL_RS01190,NC_005231.1,ssr8013,9713,9940,+,DUF2281 domain-containing protein,No COG annotation,,Op1404
SGL_RS01195,SGL_RS01195,NC_005231.1,slr8014,9948,10373,+,PIN domain-containing protein,No COG annotation,,Op1404
SGL_RS01420,SGL_RS01420,NC_005232.1,slr6011,10224,10895,+,thermonuclease family protein,No COG annotation,,Op726
SGL_RS01200,SGL_RS01200,NC_005231.1,slr8015,10395,10994,+,ParA family protein,No COG annotation,,Op1404
SGL_RS01920,ligA,NC_000911.1,sll1209,10622,12631,-,NAD-dependent DNA ligase LigA,"Replication, recombination and repair",,Op2666
SGL_RS01205,SGL_RS01205,NC_005231.1,slr8016,10998,11867,+,ParB/RepB/Spo0J family partition protein,No COG annotation,,Op1404
SGL_RS01425,SGL_RS01425,NC_005232.1,slr6012,11348,13507,+,AAA family ATPase,No COG annotation,,Op2187
SGL_RS00685,cas7d,NC_005230.1,slr7012,11524,12513,+,type I-D CRISPR-associated protein Cas7/Csc2,No COG annotation,,Op1741
SGL_RS01215,SGL_RS01215,NC_005231.1,sll8017,12618,13181,-,hypothetical protein,No COG annotation,,Op1358
SGL_RS00690,cas5d,NC_005230.1,slr7013,12674,13438,+,type I-D CRISPR-associated protein Cas5/Csc1,No COG annotation,,Op9
SGL_RS01925,SGL_RS01925,NC_000911.1,slr1315,12782,13363,+,Uma2 family endonuclease,Function unknown,,Op1571
SGL_RS00695,cas6,NC_005230.1,slr7014,13441,14229,+,CRISPR-associated endoribonuclease Cas6,No COG annotation,,Op9
SGL_RS01430,SGL_RS01430,NC_005232.1,slr6013,13483,15039,+,DUF2357 domain-containing protein,No COG annotation,,Op96
SGL_RS01930,SGL_RS01930,NC_000911.1,slr1316,13498,14529,+,iron ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",,Op1200
SGL_RS01220,SGL_RS01220,NC_005231.1,sll8018,13695,15104,-,hypothetical protein,No COG annotation,,Op469
SGL_RS00700,cas4,NC_005230.1,slr7015,14222,14794,+,CRISPR-associated protein Cas4,No COG annotation,,Op9
SGL_RS00025,SGL_RS00025,NC_005229.1,,14340,14639,-,ATP-binding protein,No COG annotation,,
SGL_RS00030,SGL_RS00030,NC_005229.1,sll5006,14579,15133,-,hypothetical protein,No COG annotation,,Op286
SGL_RS01935,SGL_RS01935,NC_000911.1,slr1317,14626,15675,+,iron ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",,Op1378
SGL_RS00705,cas1d,NC_005230.1,slr7016,14804,15781,+,type I-D CRISPR-associated endonuclease Cas1d,No COG annotation,,Op9
SGL_RS01435,SGL_RS01435,NC_005232.1,slr6014,15036,16439,+,hypothetical protein,No COG annotation,,Op96
SGL_RS00035,SGL_RS00035,NC_005229.1,ssl5007,15233,15481,-,hypothetical protein,No COG annotation,,Op621
SGL_RS01225,SGL_RS01225,NC_005231.1,sll8019,15590,16915,-,hypothetical protein,No COG annotation,,Op725
SGL_RS00710,cas2,NC_005230.1,ssr7017,15813,16097,+,CRISPR-associated endonuclease Cas2,No COG annotation,,Op9
SGL_RS01940,SGL_RS01940,NC_000911.1,slr1318,15937,16743,+,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,,Op1019
SGL_RS00040,SGL_RS00040,NC_005229.1,ssr5009,15996,16235,+,hypothetical protein,No COG annotation,,Op2115
SGL_RS01440,SGL_RS01440,NC_005232.1,slr6015,16436,18091,+,phospholipase D family protein,No COG annotation,,Op96
SGL_RS00045,SGL_RS00045,NC_005229.1,slr5010,16603,17166,+,site-specific integrase,"Replication, recombination and repair",,Op741
SGL_RS01945,SGL_RS01945,NC_000911.1,slr1319,16740,17687,+,iron-siderophore ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,Op1019
SGL_RS00050,SGL_RS00050,NC_005229.1,ssr5011,17218,17439,+,DUF167 domain-containing protein,No COG annotation,,Op2068
SGL_RS01230,SGL_RS01230,NC_005231.1,sll8020,17687,18409,-,Crp/Fnr family transcriptional regulator,No COG annotation,,Op1803
SGL_RS01950,SGL_RS01950,NC_000911.1,sll1206,17853,20393,-,TonB-dependent receptor,Inorganic ion transport and metabolism,,Op1772
SGL_RS00055,SGL_RS00055,NC_005229.1,slr5012,17880,18800,+,DUF4007 family protein,No COG annotation,,Op2213
SGL_RS01445,SGL_RS01445,NC_005232.1,slr6016,18098,20500,+,hypothetical protein,No COG annotation,,Op96
SGL_RS01235,SGL_RS01235,NC_005231.1,slr8021,18529,19311,+,class I SAM-dependent methyltransferase,No COG annotation,,Op2061
SGL_RS00060,SGL_RS00060,NC_005229.1,slr5013,18822,20513,+,hypothetical protein,No COG annotation,,Op2213
SGL_RS01240,SGL_RS01240,NC_005231.1,slr8022,19356,19691,+,cupin domain-containing protein,No COG annotation,,Op2278
SGL_RS01245,SGL_RS01245,NC_005231.1,slr8023,19938,21278,+,carboxylesterase family protein,No COG annotation,,Op2556
SGL_RS00715,SGL_RS00715,NC_005230.1,slr7023,20266,22182,+,hypothetical protein,No COG annotation,,Op1558
SGL_RS00065,SGL_RS00065,NC_005229.1,sll5014,20523,21479,-,LAGLIDADG endonuclease,No COG annotation,,Op1015
SGL_RS01450,SGL_RS01450,NC_005232.1,sll6017,20559,21329,-,Rpn family recombination-promoting nuclease/putative transposase,Function unknown,,Op1693
SGL_RS01955,SGL_RS01955,NC_000911.1,sll1205,20615,21595,-,AraC family transcriptional regulator,Transcription,,Op154
SGL_RS00070,SGL_RS00070,NC_005229.1,ssl5015,21479,21760,-,hypothetical protein,No COG annotation,,Op1015
SGL_RS01455,SGL_RS01455,NC_005232.1,ssl6018,21554,21769,-,hypothetical protein,No COG annotation,,Op2219
SGL_RS01250,SGL_RS01250,NC_005231.1,sll8025,21810,22325,-,hypothetical protein,No COG annotation,,Op1600
SGL_RS01960,SGL_RS01960,NC_000911.1,sll1204,21838,23121,-,MFS transporter,No COG annotation,,Op1540
SGL_RS00075,SGL_RS00075,NC_005229.1,slr5016,21843,23219,+,HNH endonuclease domain-containing protein,No COG annotation,,Op866
SGL_RS00720,SGL_RS00720,NC_005230.1,slr7024,22328,24058,+,DUF262 domain-containing protein,No COG annotation,,Op448
SGL_RS01255,SGL_RS01255,NC_005231.1,slr8026,22461,22985,+,MarR family transcriptional regulator,No COG annotation,,Op41
SGL_RS01465,SGL_RS01465,NC_005232.1,slr6021,22487,22951,+,hypothetical protein,No COG annotation,,Op2524
SGL_RS01965,SGL_RS01965,NC_000911.1,sll1203,23139,24104,-,sucrase ferredoxin,No COG annotation,,Op1540
SGL_RS00080,SGL_RS00080,NC_005229.1,slr5017,23255,23572,+,nucleotidyltransferase domain-containing protein,No COG annotation,,Op866
SGL_RS01470,SGL_RS01470,NC_005232.1,slr6022,23270,23833,+,hypothetical protein,No COG annotation,,Op185
SGL_RS01260,SGL_RS01260,NC_005231.1,sll8027,23434,23859,-,putative toxin-antitoxin system toxin component%2C PIN family,Function unknown,,Op716
SGL_RS00085,SGL_RS00085,NC_005229.1,slr5018,23562,23903,+,DUF86 domain-containing protein,No COG annotation,,Op866
SGL_RS01265,SGL_RS01265,NC_005231.1,ssl8028,23856,24077,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,No COG annotation,,Op716
SGL_RS00090,SGL_RS00090,NC_005229.1,,23890,24063,+,aminotransferase class V-fold PLP-dependent enzyme,No COG annotation,,
SGL_RS01475,SGL_RS01475,NC_005232.1,ssl6023,23898,24110,-,hypothetical protein,No COG annotation,,Op607
SGL_RS01970,SGL_RS01970,NC_000911.1,sll1202,24101,25003,-,iron-siderophore ABC transporter substrate-binding protein,No COG annotation,,Op1540
SGL_RS00725,SGL_RS00725,NC_005230.1,slr7025,24106,24495,+,hypothetical protein,No COG annotation,,Op448
SGL_RS00095,SGL_RS00095,NC_005229.1,ssr5020,24181,24462,+,type II toxin-antitoxin system RelE/ParE family toxin,No COG annotation,,Op291
SGL_RS01480,SGL_RS01480,NC_005232.1,ssr6024,24263,24442,+,hypothetical protein,No COG annotation,,Op1006
SGL_RS01270,SGL_RS01270,NC_005231.1,slr8029,24295,24861,+,recombinase family protein,No COG annotation,,Op970
SGL_RS20095,SGL_RS20095,NC_005232.1,,24442,24573,+,hypothetical protein,No COG annotation,,
SGL_RS00100,SGL_RS00100,NC_005229.1,slr5021,24473,24787,+,HigA family addiction module antitoxin,No COG annotation,,Op291
SGL_RS00730,SGL_RS00730,NC_005230.1,slr7026,24518,24886,+,hypothetical protein,No COG annotation,,Op448
SGL_RS01485,SGL_RS01485,NC_005232.1,slr6025,24638,25147,+,antirestriction protein ArdA,No COG annotation,,Op1389
SGL_RS00105,SGL_RS00105,NC_005229.1,slr5022,24798,25955,+,cysteine desulfurase family protein,No COG annotation,,Op291
SGL_RS00735,SGL_RS00735,NC_005230.1,sll7027,24925,25509,-,hypothetical protein,No COG annotation,,Op781
SGL_RS01275,SGL_RS01275,NC_005231.1,slr8030,25147,27345,+,DUF839 domain-containing protein,No COG annotation,,Op1201
SGL_RS01490,SGL_RS01490,NC_005232.1,ssr6026,25216,25473,+,hypothetical protein,No COG annotation,,Op1762
SGL_RS01975,SGL_RS01975,NC_000911.1,sll1409,25266,27839,-,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,,Op645
SGL_RS01495,SGL_RS01495,NC_005232.1,ssr6027,25538,25729,+,hypothetical protein,No COG annotation,,Op2096
SGL_RS19315,SGL_RS19315,NC_005232.1,,25832,26032,+,hypothetical protein,No COG annotation,,
SGL_RS00740,SGL_RS00740,NC_005230.1,,25975,26195,-,DUF6036 family nucleotidyltransferase,No COG annotation,,
SGL_RS00110,SGL_RS00110,NC_005229.1,slr5023,25994,27175,+,AAA family ATPase,No COG annotation,,Op291
SGL_RS01500,SGL_RS01500,NC_005232.1,slr6028,26096,26653,+,siphovirus Gp157 family protein,No COG annotation,,Op16
SGL_RS00745,SGL_RS00745,NC_005230.1,sll7028,26352,27608,-,VWA-like domain-containing protein,No COG annotation,,Op193
SGL_RS01505,SGL_RS01505,NC_005232.1,slr6029,26745,27242,+,hypothetical protein,No COG annotation,,Op470
SGL_RS00115,SGL_RS00115,NC_005229.1,slr5024,27175,27735,+,DUF4276 family protein,No COG annotation,,Op291
SGL_RS01280,nuoB,NC_005231.1,ndhK2,27353,28012,-,NADH-quinone oxidoreductase subunit NuoB,No COG annotation,,Op1456
SGL_RS00750,SGL_RS00750,NC_005230.1,sll7029,27605,28630,-,MoxR family ATPase,No COG annotation,,Op193
SGL_RS00120,SGL_RS00120,NC_005229.1,ssl5025,27859,28053,-,DUF433 domain-containing protein,No COG annotation,,Op1715
SGL_RS01515,SGL_RS01515,NC_005232.1,slr6031,27957,31322,+,hypothetical protein,No COG annotation,,Op1628
SGL_RS01980,SGL_RS01980,NC_000911.1,sll1408,27990,29030,-,AraC family transcriptional regulator,No COG annotation,,Op2124
SGL_RS00125,SGL_RS00125,NC_005229.1,sll5026,28096,30168,-,DNA phosphorothioation-associated putative methyltransferase,No COG annotation,,Op94
SGL_RS01285,SGL_RS01285,NC_005231.1,sll8032,28120,28461,-,YdhR family protein,No COG annotation,,Op2475
SGL_RS01290,SGL_RS01290,NC_005231.1,sll8033,28521,28823,-,hypothetical protein,No COG annotation,,Op581
SGL_RS00755,SGL_RS00755,NC_005230.1,sll7030,28850,29353,-,GNAT family N-acetyltransferase,No COG annotation,,Op634
SGL_RS01295,SGL_RS01295,NC_005231.1,sll8034,29006,30040,-,nitronate monooxygenase,No COG annotation,,Op2085
SGL_RS01985,SGL_RS01985,NC_000911.1,sll1407,29098,29895,-,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",,Op505
SGL_RS00760,SGL_RS00760,NC_005230.1,sll7031,29337,29639,-,DUF1778 domain-containing protein,No COG annotation,,Op634
SGL_RS18535,SGL_RS18535,NC_005230.1,,29928,30142,-,hypothetical protein,No COG annotation,,
SGL_RS01990,SGL_RS01990,NC_000911.1,sll1406,29968,32454,-,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,,Op2322
SGL_RS01300,SGL_RS01300,NC_005231.1,sll8035,30084,30587,-,hypothetical protein,No COG annotation,,Op88
SGL_RS18470,SGL_RS18470,NC_005229.1,,30281,30574,-,HNH endonuclease,No COG annotation,,
SGL_RS00770,SGL_RS00770,NC_005230.1,slr7032,30352,30669,+,DUF86 domain-containing protein,No COG annotation,,Op35
SGL_RS19675,SGL_RS19675,NC_005229.1,,30677,31183,-,hypothetical protein,No COG annotation,,
SGL_RS00775,SGL_RS00775,NC_005230.1,sll7033,30699,31040,-,DUF5615 family PIN-like protein,No COG annotation,,Op892
SGL_RS19695,SGL_RS19695,NC_005231.1,,30954,31376,+,GNAT family N-acetyltransferase,No COG annotation,,
SGL_RS00780,SGL_RS00780,NC_005230.1,sll7034,31037,31369,-,DUF433 domain-containing protein,No COG annotation,,Op892
SGL_RS19730,SGL_RS19730,NC_005232.1,,31354,31461,+,DNA cytosine methyltransferase,No COG annotation,,
SGL_RS00135,SGL_RS00135,NC_005229.1,slr5029,31397,32062,+,IS701 family transposase,"Replication, recombination and repair",,Op2667
SGL_RS19700,SGL_RS19700,NC_005231.1,,31402,31830,+,GNAT family N-acetyltransferase,No COG annotation,,
SGL_RS19320,SGL_RS19320,NC_005232.1,,31409,31801,+,hypothetical protein,No COG annotation,,
SGL_RS19375,SGL_RS19375,NC_005230.1,,31422,31595,+,hypothetical protein,No COG annotation,,
SGL_RS19380,SGL_RS19380,NC_005230.1,,31641,31790,-,hypothetical protein,No COG annotation,,
SGL_RS00785,SGL_RS00785,NC_005230.1,ssr7035,31822,32097,+,hypothetical protein,No COG annotation,,Op2414
SGL_RS19705,SGL_RS19705,NC_005231.1,,31993,32598,+,transglutaminase family protein,No COG annotation,,
SGL_RS00140,SGL_RS00140,NC_005229.1,sll5030,32015,32836,-,ARMT1-like domain-containing protein,No COG annotation,,Op1563
SGL_RS01525,SGL_RS01525,NC_005232.1,slr6034,32129,32545,+,cytidine deaminase,No COG annotation,,Op1103
SGL_RS00790,SGL_RS00790,NC_005230.1,ssr7036,32289,32483,+,hypothetical protein,No COG annotation,,Op1260
SGL_RS01995,SGL_RS01995,NC_000911.1,sll1405,32524,32928,-,biopolymer transporter ExbD,"Intracellular trafficking, secretion, and vesicular transport",,Op2412
SGL_RS00795,SGL_RS00795,NC_005230.1,slr7037,32647,35523,+,DUF3854 domain-containing protein,No COG annotation,,Op2607
SGL_RS01530,SGL_RS01530,NC_005232.1,ssl6035,32660,32893,-,hypothetical protein,No COG annotation,,Op1862
SGL_RS01315,SGL_RS01315,NC_005231.1,slr8038,32698,36411,+,WD40 repeat domain-containing protein,No COG annotation,,Op24
SGL_RS00145,SGL_RS00145,NC_005229.1,,32865,33350,-,DUF4079 domain-containing protein,No COG annotation,,
SGL_RS01535,SGL_RS01535,NC_005232.1,sll6036,32890,33495,-,ParA family protein,No COG annotation,,Op1862
SGL_RS02000,SGL_RS02000,NC_000911.1,sll1404,32912,33544,-,MotA/TolQ/ExbB proton channel family protein,"Intracellular trafficking, secretion, and vesicular transport",,Op2412
SGL_RS00150,SGL_RS00150,NC_005229.1,sll5033,33422,33961,-,DUF3122 domain-containing protein,No COG annotation,,Op79
SGL_RS01540,SGL_RS01540,NC_005232.1,slr6037,33889,34311,+,arsenate reductase family protein,No COG annotation,,Op563
SGL_RS02005,SGL_RS02005,NC_000911.1,slr1484,33891,35489,+,energy transducer TonB,Cell wall/membrane/envelope biogenesis,,Op1678
SGL_RS00155,SGL_RS00155,NC_005229.1,sll5034,34001,34624,-,DUF3365 domain-containing protein,No COG annotation,,Op79
SGL_RS18595,SGL_RS18595,NC_005232.1,,34375,34668,+,HNH endonuclease,No COG annotation,,
SGL_RS18475,SGL_RS18475,NC_005229.1,,34736,35005,-,metalloregulator ArsR/SmtB family transcription factor,No COG annotation,,
SGL_RS01545,SGL_RS01545,NC_005232.1,slr6039,34784,35374,+,DUF305 domain-containing protein,Function unknown,A0A0F6QDN6_9SYNC,Op1978
SGL_RS00160,SGL_RS00160,NC_005229.1,sll5036,35079,36365,-,FAD-dependent oxidoreductase,No COG annotation,,Op372
SGL_RS01550,SGL_RS01550,NC_005232.1,slr6040,35381,36079,+,response regulator transcription factor,Transcription,A0A0F6QCH5_9SYNC,Op1978
SGL_RS02010,SGL_RS02010,NC_000911.1,slr1485,35566,36615,+,hypothetical protein,No COG annotation,,Op1176
SGL_RS00800,SGL_RS00800,NC_005230.1,ssl7038,35891,36178,-,putative addiction module antidote protein,No COG annotation,,Op1134
SGL_RS01555,SGL_RS01555,NC_005232.1,slr6041,36066,37418,+,ATP-binding protein,Signal transduction mechanisms,A0A0F6QFI0_9SYNC,Op1978
SGL_RS00805,SGL_RS00805,NC_005230.1,ssl7039,36189,36479,-,type II toxin-antitoxin system RelE/ParE family toxin,No COG annotation,,Op1134
SGL_RS00165,SGL_RS00165,NC_005229.1,slr5037,36483,36866,+,DUF302 domain-containing protein,No COG annotation,,Op1453
SGL_RS00810,SGL_RS00810,NC_005230.1,ssr7040,36597,36848,+,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,No COG annotation,,Op1076
SGL_RS19310,SGL_RS19310,NC_005231.1,,36679,36978,-,hypothetical protein,No COG annotation,,
SGL_RS02015,SGL_RS02015,NC_000911.1,slr1488,36757,38538,+,ABC transporter ATP-binding protein,Defense mechanisms,,Op2009
SGL_RS00815,SGL_RS00815,NC_005230.1,slr7041,36839,37201,+,type II toxin-antitoxin system PemK/MazF family toxin,No COG annotation,,Op1076
SGL_RS00170,chrA,NC_005229.1,slr5038,36906,38144,+,chromate efflux transporter,No COG annotation,,Op1453
SGL_RS00820,SGL_RS00820,NC_005230.1,ssl7042,37267,37521,-,DUF1819 family protein,No COG annotation,,Op536
SGL_RS01320,SGL_RS01320,NC_005231.1,sll8040,37299,38048,-,HNH endonuclease,No COG annotation,,Op2492
SGL_RS01560,SGL_RS01560,NC_005232.1,slr6042,37542,39119,+,efflux RND transporter periplasmic adaptor subunit,No COG annotation,,Op320
SGL_RS00825,SGL_RS00825,NC_005230.1,sll7043,37554,38138,-,hypothetical protein,No COG annotation,,Op536
SGL_RS00830,SGL_RS00830,NC_005230.1,sll7044,38131,38712,-,hypothetical protein,No COG annotation,,Op536
SGL_RS19395,SGL_RS19395,NC_005231.1,,38411,38557,+,hypothetical protein,No COG annotation,,
SGL_RS00175,SGL_RS00175,NC_005229.1,ssl5039,38437,38730,-,hypothetical protein,No COG annotation,,Op1679
SGL_RS18570,SGL_RS18570,NC_005231.1,,38568,39415,-,IS630 family transposase,No COG annotation,,
SGL_RS02020,SGL_RS02020,NC_000911.1,slr1489,38680,39636,+,AraC family transcriptional regulator,No COG annotation,,Op1792
SGL_RS00180,SGL_RS00180,NC_005229.1,slr5040,38907,39641,+,IS5 family transposase,No COG annotation,,Op2180
SGL_RS01565,SGL_RS01565,NC_005232.1,slr6043,39171,42311,+,CusA/CzcA family heavy metal efflux RND transporter,No COG annotation,A0A0F6T1X5_9SYNC,Op744
SGL_RS01335,SGL_RS01335,NC_005231.1,slr8044,39500,40969,+,hypothetical protein,No COG annotation,,Op1744
SGL_RS00185,SGL_RS00185,NC_005229.1,,39663,40259,-,transposase,No COG annotation,,
SGL_RS02025,SGL_RS02025,NC_000911.1,slr1490,39817,42363,+,TonB-dependent receptor,No COG annotation,,Op1837
SGL_RS00845,SGL_RS00845,NC_005230.1,ssl7046,40245,40514,-,putative toxin-antitoxin system toxin component%2C PIN family,No COG annotation,,Op1498
SGL_RS00190,SGL_RS00190,NC_005229.1,sll5042,40411,41316,-,sulfotransferase,No COG annotation,,Op1531
SGL_RS00850,SGL_RS00850,NC_005230.1,sll7047,40637,41368,-,DUF4386 domain-containing protein,No COG annotation,,Op135
SGL_RS18575,SGL_RS18575,NC_005231.1,,41056,41903,+,IS630 family transposase,No COG annotation,,
SGL_RS00195,SGL_RS00195,NC_005229.1,sll5043,41411,42397,-,glycosyltransferase family 2 protein,No COG annotation,,Op2211
SGL_RS00855,SGL_RS00855,NC_005230.1,ssl7048,41419,41640,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,No COG annotation,,Op1104
SGL_RS00860,SGL_RS00860,NC_005230.1,slr7049,41845,42492,+,recombinase family protein,No COG annotation,,Op1863
SGL_RS01355,SGL_RS01355,NC_005231.1,sll8048,42203,42913,-,SprT family zinc-dependent metalloprotease,No COG annotation,,Op2177
SGL_RS01570,SGL_RS01570,NC_005232.1,slr6044,42326,42805,+,hypothetical protein,No COG annotation,A0A0F6QE48_9SYNC,Op744
SGL_RS00200,SGL_RS00200,NC_005229.1,sll5044,42442,43161,-,glycosyltransferase family 25 protein,No COG annotation,,Op177
SGL_RS02030,SGL_RS02030,NC_000911.1,slr1491,42567,43397,+,iron-siderophore ABC transporter substrate-binding protein,No COG annotation,,Op170
SGL_RS01360,SGL_RS01360,NC_005231.1,,42903,43241,-,hypothetical protein,No COG annotation,,
SGL_RS00865,SGL_RS00865,NC_005230.1,sll7050,43053,43646,-,hypothetical protein,No COG annotation,,Op1861
SGL_RS01575,SGL_RS01575,NC_005232.1,slr6045,43066,43374,+,hypothetical protein,No COG annotation,,Op1497
SGL_RS01125,SGL_RS01125,NC_005231.1,sll8049,43288,46257,-,type I restriction endonuclease subunit R,No COG annotation,,Op1989
SGL_RS00205,SGL_RS00205,NC_005229.1,sll5046,43343,44293,-,sulfotransferase,No COG annotation,,Op1885
SGL_RS01580,SGL_RS01580,NC_005232.1,ssr6046,43486,43689,+,hypothetical protein,No COG annotation,,Op724
SGL_RS02035,SGL_RS02035,NC_000911.1,slr1492,43511,44506,+,iron-siderophore ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,Op2083
SGL_RS01585,SGL_RS01585,NC_005232.1,slr6047,43696,47151,+,phospholipase D-like domain-containing protein,No COG annotation,,Op724
